"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","2. Авторизация пользователя","0","2.0. Проверка формы логина","0","0","2.5. Logout","0"
"1","3. Регистрация нового пользователя","0","3.0. Проверка формы регистрации","0","0","3.2. Несовпадающие пароли","0"
"1","2. Авторизация пользователя","0","2.0. Проверка формы логина","0","0","2.1. Валидные email и пароль","0"
"1","2. Авторизация пользователя","0","2.0. Проверка формы логина","0","0","2.3. Пустой пароль","0"
"1","3. Работа с записями","0","3.0 Управление записями","0","0","3.1. Чекбокс апрув","0"
"1","4. Поиск","0","4.0 Поиск записей","0","0","4.2 Несуществующий запрос","0"
"1","3. Работа с записями","0","3.0 Управление записями","0","0","3.2. Создать и удалить одну","0"
"1","2. Авторизация пользователя","0","2.0. Проверка формы логина","0","0","2.4. Пустой email","0"
"1","2. Авторизация пользователя","0","2.0. Проверка формы логина","0","0","2.2. Пустые email и пароль","0"
"1","3. Работа с записями","0","3.0 Управление записями","0","0","3.3. Удаление всех","0"
"1","3. Регистрация нового пользователя","0","3.0. Проверка формы регистрации","0","0","3.3. Пустая форма регистрации","0"
"1","3. Регистрация нового пользователя","0","3.0. Проверка формы регистрации","0","0","3.1. Валидная регистрация","0"
"1","5. Настройки","0","5.1 Смена языка без авторизации","0","0","5.1 Язык: Deutsch — публичная страница","0"
"1","4. Поиск","0","4.0 Поиск записей","0","0","4.1 Поиск по '1111'","0"
